Date,Open,High,Low,Close,Volume
2018-08-09,1761,1765,1754,1762,293500
2018-08-08,1771,1779,1765,1767,175600
2018-08-07,1757,1768,1754,1768,114600
2018-08-06,1765,1769,1753,1754,332400
2018-08-03,1778,1778,1762,1766,957800
2018-08-02,1790,1797,1772,1774,299000
2018-07-31,1784,1792,1771,1775,275700
2018-07-30,1793,1794,1787,1791,93200
2018-07-27,1794,1798,1791,1798,128600
2018-07-26,1792,1792,1784,1789,227800
2018-07-25,1775,1780,1774,1774,89200
2018-07-24,1771,1774,1767,1768,211200
2018-07-23,1761,1771,1758,1761,278500
2018-07-20,1770,1778,1758,1767,346900
2018-07-19,1777,1783,1772,1773,187300
2018-07-18,1784,1784,1773,1774,286500
2018-07-17,1756,1776,1755,1766,211800
2018-07-13,1744,1756,1740,1751,352600
2018-07-12,1729,1737,1727,1732,177200
2018-07-11,1726,1727,1709,1723,399800
2018-07-10,1747,1754,1737,1737,303800
2018-07-09,1722,1736,1719,1733,625200
2018-07-06,1708,1719,1706,1713,172300
2018-07-05,1712,1712,1693,1698,300400
2018-07-04,1708,1720,1706,1714,329800
2018-07-03,1754,1755,1733,1746,660600
2018-07-02,1778,1783,1746,1749,1000500
2018-06-29,1785,1786,1771,1783,462400
2018-06-28,1780,1782,1769,1781,510000
2018-06-27,1786,1790,1777,1785,203100
2018-06-26,1768,1786,1763,1785,695900
2018-06-25,1800,1800,1778,1780,193200
2018-06-22,1784,1800,1784,1800,304800
2018-06-21,1805,1811,1800,1803,226900
2018-06-20,1799,1807,1780,1805,478000
2018-06-19,1815,1822,1796,1798,302400
2018-06-18,1838,1838,1818,1825,366800
2018-06-15,1848,1848,1839,1841,79300
2018-06-14,1845,1848,1836,1836,109700
2018-06-13,1848,1857,1848,1855,101200
2018-06-12,1853,1856,1841,1847,153000
2018-06-11,1835,1845,1832,1842,412900
2018-06-08,1842,1846,1836,1836,114200
2018-06-07,1839,1845,1839,1842,99800
2018-06-06,1828,1834,1826,1831,108000
2018-06-05,1832,1837,1824,1830,140400
2018-06-04,1821,1832,1818,1827,179200
2018-06-01,1796,1810,1793,1804,171000
2018-05-31,1800,1802,1794,1799,201500
2018-05-30,1787,1793,1784,1789,566100
2018-05-29,1821,1821,1808,1817,388800
2018-05-28,1825,1829,1819,1825,264600
2018-05-25,1823,1830,1819,1826,375500
2018-05-24,1845,1845,1824,1830,240600
2018-05-23,1857,1865,1845,1851,335800
2018-05-22,1869,1869,1862,1864,157500
2018-05-21,1868,1874,1867,1870,406700
2018-05-18,1867,1870,1863,1869,159200
2018-05-17,1863,1867,1860,1863,250000
2018-05-16,1854,1860,1853,1855,171700
2018-05-15,1863,1867,1859,1859,254500
2018-05-14,1850,1861,1848,1859,94900
2018-05-11,1837,1849,1837,1848,197500
2018-05-10,1829,1832,1825,1831,162200
2018-05-09,1830,1833,1821,1825,86400
2018-05-08,1827,1838,1825,1833,99100
2018-05-07,1827,1828,1817,1827,146600
2018-05-02,1831,1831,1821,1824,107000
2018-05-01,1825,1828,1820,1828,320800
2018-04-27,1832,1832,1824,1829,86900
2018-04-26,1823,1827,1820,1825,136500
2018-04-25,1810,1821,1808,1820,100300
2018-04-24,1815,1822,1810,1821,593500
2018-04-23,1807,1809,1800,1801,154000
2018-04-20,1799,1808,1798,1803,474600
2018-04-19,1808,1814,1801,1803,150400
2018-04-18,1784,1803,1784,1802,180800
2018-04-17,1782,1789,1779,1779,99500
2018-04-16,1783,1789,1781,1788,132600
2018-04-13,1778,1786,1777,1780,108300
2018-04-12,1777,1777,1768,1768,91800
2018-04-11,1788,1788,1776,1776,240900
2018-04-10,1773,1794,1769,1782,217600
2018-04-09,1768,1782,1767,1777,153300
2018-04-06,1775,1783,1769,1769,127100
2018-04-05,1770,1784,1764,1777,115200
2018-04-04,1760,1762,1750,1757,111300
2018-04-03,1740,1758,1737,1754,201300
2018-04-02,1768,1775,1759,1759,84700
2018-03-30,1770,1772,1759,1765,202300
