Date,Open,High,Low,Close,Volume
2018-08-09,1805,1808,1798,1805,75520
2018-08-08,1812,1822,1808,1810,96900
2018-08-07,1798,1810,1797,1810,94480
2018-08-06,1808,1812,1795,1797,39200
2018-08-03,1822,1822,1806,1808,93190
2018-08-02,1835,1840,1814,1815,170050
2018-07-31,1829,1836,1814,1817,101760
2018-07-30,1837,1838,1830,1833,52240
2018-07-27,1837,1843,1834,1841,230420
2018-07-26,1835,1837,1828,1832,311900
2018-07-25,1818,1822,1816,1817,894100
2018-07-24,1817,1818,1809,1811,38550
2018-07-23,1804,1813,1802,1804,125010
2018-07-20,1812,1822,1800,1812,993750
2018-07-19,1819,1826,1814,1815,50050
2018-07-18,1826,1828,1815,1818,103180
2018-07-17,1797,1820,1797,1809,139380
2018-07-13,1785,1799,1785,1795,184850
2018-07-12,1773,1780,1770,1774,48140
2018-07-11,1768,1769,1751,1764,111190
2018-07-10,1790,1797,1782,1782,97850
2018-07-09,1764,1778,1761,1775,260780
2018-07-06,1751,1762,1747,1756,1095420
2018-07-05,1786,1786,1766,1773,228120
2018-07-04,1781,1793,1779,1787,102450
2018-07-03,1797,1798,1774,1786,180470
2018-07-02,1822,1826,1789,1791,205310
2018-06-29,1827,1829,1814,1826,247220
2018-06-28,1823,1825,1812,1822,235200
2018-06-27,1827,1835,1819,1827,193900
2018-06-26,1812,1829,1806,1828,1094070
2018-06-25,1842,1843,1821,1825,168170
2018-06-22,1827,1843,1827,1843,51840
2018-06-21,1848,1855,1842,1846,498130
2018-06-20,1842,1851,1823,1850,328410
2018-06-19,1857,1866,1840,1842,377770
2018-06-18,1881,1881,1862,1869,154540
2018-06-15,1893,1893,1883,1888,38790
2018-06-14,1889,1893,1881,1882,80350
2018-06-13,1892,1902,1892,1900,47510
2018-06-12,1898,1900,1884,1893,302770
2018-06-11,1877,1889,1877,1884,61210
2018-06-08,1884,1892,1879,1879,45440
2018-06-07,1885,1890,1883,1888,222250
2018-06-06,1873,1879,1870,1876,152370
2018-06-05,1878,1880,1868,1873,48590
2018-06-04,1865,1876,1863,1873,78010
2018-06-01,1840,1853,1835,1845,160590
2018-05-31,1844,1847,1837,1844,83420
2018-05-30,1830,1837,1826,1830,214180
2018-05-29,1865,1866,1851,1860,323420
2018-05-28,1870,1872,1863,1867,39290
2018-05-25,1868,1874,1864,1868,80410
2018-05-24,1890,1890,1869,1874,298330
2018-05-23,1902,1910,1890,1895,833500
2018-05-22,1913,1913,1906,1910,46500
2018-05-21,1914,1919,1913,1913,82840
2018-05-18,1913,1916,1907,1914,80010
2018-05-17,1906,1911,1905,1907,91890
2018-05-16,1897,1905,1897,1898,895270
2018-05-15,1907,1912,1904,1904,602660
2018-05-14,1892,1906,1892,1903,367180
2018-05-11,1881,1894,1880,1893,100810
2018-05-10,1875,1876,1869,1874,6430
2018-05-09,1873,1876,1864,1868,95620
2018-05-08,1868,1883,1868,1878,96040
2018-05-07,1871,1871,1860,1869,800320
2018-05-02,1875,1875,1866,1867,48770
2018-05-01,1869,1873,1864,1873,250890
2018-04-27,1876,1876,1868,1873,159400
2018-04-26,1868,1871,1865,1867,126560
2018-04-25,1854,1866,1852,1863,189180
2018-04-24,1859,1868,1854,1866,185310
2018-04-23,1851,1853,1844,1845,118890
2018-04-20,1845,1854,1841,1848,156790
2018-04-19,1852,1858,1845,1846,124020
2018-04-18,1829,1848,1829,1844,132090
2018-04-17,1825,1832,1821,1823,29880
2018-04-16,1825,1833,1824,1830,31750
2018-04-13,1821,1830,1818,1824,35850
2018-04-12,1818,1818,1811,1811,193490
2018-04-11,1829,1829,1820,1821,39010
2018-04-10,1814,1837,1813,1826,93060
