Date,Open,High,Low,Close,Volume
2018-08-09,1785,1788,1776,1786,33870
2018-08-08,1792,1801,1787,1789,34890
2018-08-07,1779,1791,1776,1791,42650
2018-08-06,1787,1792,1775,1775,62010
2018-08-03,1800,1801,1785,1786,47410
2018-08-02,1814,1820,1794,1795,95510
2018-07-31,1807,1815,1793,1798,191290
2018-07-30,1816,1817,1809,1812,63220
2018-07-27,1815,1820,1813,1819,150860
2018-07-26,1814,1816,1807,1811,89520
2018-07-25,1797,1802,1796,1797,37530
2018-07-24,1795,1796,1787,1791,54610
2018-07-23,1783,1793,1779,1784,88100
2018-07-20,1792,1800,1779,1791,108950
2018-07-19,1799,1806,1793,1794,41270
2018-07-18,1805,1807,1794,1795,45140
2018-07-17,1778,1800,1777,1788,63650
2018-07-13,1765,1779,1764,1775,130750
2018-07-12,1753,1759,1749,1753,156540
2018-07-11,1763,1765,1683,1744,685100
2018-07-10,1785,1793,1778,1778,78140
2018-07-09,1761,1774,1758,1772,111770
2018-07-06,1748,1758,1744,1752,85310
2018-07-05,1750,1751,1732,1738,83310
2018-07-04,1746,1758,1743,1752,68320
2018-07-03,1762,1763,1740,1751,193960
2018-07-02,1786,1791,1753,1754,159530
2018-06-29,1792,1794,1779,1790,48230
2018-06-28,1788,1790,1777,1787,62980
2018-06-27,1791,1797,1784,1792,65230
2018-06-26,1777,1793,1770,1793,104520
2018-06-25,1808,1808,1785,1788,32070
2018-06-22,1791,1805,1791,1805,70430
2018-06-21,1813,1819,1807,1812,52100
2018-06-20,1804,1815,1787,1812,59620
2018-06-19,1823,1831,1804,1805,243630
2018-06-18,1846,1846,1825,1831,235490
2018-06-15,1854,1855,1846,1851,36850
2018-06-14,1854,1856,1846,1846,18330
2018-06-13,1857,1865,1857,1861,27800
2018-06-12,1859,1864,1848,1854,36710
2018-06-11,1842,1852,1840,1847,30040
2018-06-08,1847,1854,1842,1842,25980
2018-06-07,1846,1853,1846,1849,23040
2018-06-06,1837,1842,1833,1839,14110
2018-06-05,1842,1844,1832,1836,18910
2018-06-04,1827,1840,1825,1837,36310
2018-06-01,1804,1817,1800,1809,19980
2018-05-31,1808,1811,1800,1808,38130
2018-05-30,1795,1801,1790,1796,54520
2018-05-29,1830,1830,1816,1822,38600
2018-05-28,1833,1836,1827,1831,24650
2018-05-25,1830,1837,1827,1832,32910
2018-05-24,1854,1854,1833,1837,113250
2018-05-23,1865,1873,1853,1858,71810
