Date,Open,High,Low,Close,Volume
2018-08-09,1749,1753,1749,1753,20
2018-08-08,1766,1766,1755,1755,1810
2018-08-07,1742,1753,1742,1753,23530
2018-08-06,1746,1746,1743,1743,80
2018-08-03,1762,1762,1750,1752,49400
2018-08-02,1767,1767,1760,1760,26180
2018-07-31,1761,1768,1761,1768,3200
2018-07-30,1749,1780,1749,1777,100
2018-07-27,1784,1784,1783,1783,140
2018-07-26,1776,1776,1776,1776,110
2018-07-25,1763,1763,1763,1763,50
2018-07-24,1758,1761,1758,1758,2320
2018-07-23,1747,1749,1747,1747,60
2018-07-20,1758,1758,1750,1752,9120
2018-07-19,1770,1770,1760,1760,8170
2018-07-18,1769,1769,1759,1759,17730
2018-07-17,1752,1762,1752,1761,35070
2018-07-13,1736,1743,1736,1743,1190
2018-07-12,1715,1721,1715,1721,100
2018-07-11,1725,1725,1712,1712,210
2018-07-10,1730,1732,1730,1732,140
2018-07-09,1720,1724,1720,1724,330
2018-07-06,1706,1706,1706,1706,110
2018-07-05,1695,1695,1683,1683,17850
2018-07-04,1698,1707,1698,1707,130
2018-07-03,1724,1724,1705,1716,330
2018-07-02,1745,1745,1722,1722,19060
2018-06-29,1745,1757,1745,1757,100
2018-06-28,1749,1749,1749,1749,30
2018-06-27,1750,1760,1750,1760,7020
2018-06-26,1744,1754,1743,1754,70
2018-06-25,1753,1753,1753,1753,60
2018-06-22,1765,1765,1765,1765,90
2018-06-21,1776,1781,1776,1781,6000
2018-06-20,1755,1778,1755,1778,110
2018-06-19,1790,1790,1772,1772,5650
2018-06-18,1791,1794,1791,1794,220
2018-06-15,1817,1817,1812,1812,40
2018-06-14,1810,1812,1810,1812,100
2018-06-13,1828,1828,1828,1828,30
2018-06-12,1826,1826,1811,1821,10130
2018-06-11,1814,1814,1814,1814,40
2018-06-08,1814,1816,1809,1810,60
2018-06-07,1809,1819,1809,1815,210
2018-06-06,1803,1804,1797,1804,860
2018-06-05,1799,1802,1795,1800,830
2018-06-04,1789,1804,1755,1804,880
2018-06-01,1766,1781,1766,1779,850
2018-05-31,1767,1776,1767,1776,850
2018-05-30,1755,1755,1755,1755,20
2018-05-25,1792,1798,1792,1795,90
2018-05-24,1807,1807,1796,1803,100
2018-05-23,1833,1833,1833,1833,10
2018-05-22,1841,1841,1832,1832,40
2018-05-21,1802,1848,1802,1841,60
2018-05-18,1834,1842,1834,1842,30
2018-05-17,1828,1835,1828,1832,40
2018-05-16,1826,1830,1826,1828,90
2018-05-15,1832,1833,1832,1833,11050
2018-05-14,1823,1829,1823,1829,30
2018-05-11,1809,1823,1809,1823,90
2018-05-10,1802,1805,1795,1805,50
2018-05-09,1804,1804,1793,1801,60
2018-05-08,1809,1809,1803,1803,20
2018-05-07,1796,1798,1791,1794,60
2018-05-02,1802,1802,1793,1793,290
2018-05-01,1800,1800,1796,1796,640
2018-04-27,1800,1800,1800,1800,10
2018-04-26,1795,1796,1793,1795,5580
2018-04-25,1782,1782,1777,1777,510
2018-04-23,1774,1776,1774,1774,5570
2018-04-20,1799,1799,1772,1777,9990
2018-04-19,1780,1786,1779,1779,1340
2018-04-17,1758,1758,1753,1755,50
2018-04-16,1756,1759,1756,1759,40
2018-04-12,1746,1746,1740,1741,7050
2018-04-11,1756,1761,1748,1748,40
2018-04-10,1743,1763,1740,1756,40
2018-04-09,1741,1750,1739,1750,17060
2018-04-06,1748,1751,1746,1746,7020
2018-04-05,1737,1753,1737,1753,8370
2018-04-04,1727,1728,1724,1724,7030
2018-04-03,1717,1727,1717,1727,30
2018-04-02,1744,1749,1744,1747,30
2018-03-30,1746,1746,1732,1738,31020
2018-03-29,1729,1729,1729,1729,10
2018-03-28,1708,1723,1708,1723,39950
2018-03-27,1698,1713,1696,1713,24070
2018-03-26,1671,1671,1653,1659,29320
2018-03-23,1694,1694,1675,1675,18450
2018-03-22,1715,1723,1715,1723,120
2018-03-20,1717,1717,1711,1715,14520
2018-03-16,1749,1749,1749,1749,10
2018-03-15,1740,1740,1740,1740,10
2018-03-14,1749,1749,1749,1749,3410
2018-03-13,1748,1748,1748,1748,100
2018-03-09,1736,1736,1727,1727,10010
2018-03-08,1720,1720,1715,1715,31800
2018-03-05,1700,1700,1700,1700,10
2018-03-02,1718,1721,1709,1721,40
2018-02-27,1800,1800,1800,1800,10
2018-02-23,1773,1773,1773,1773,10
2018-02-22,1753,1753,1753,1753,10
2018-02-16,1746,1746,1746,1746,10
2018-02-15,1729,1729,1729,1729,10
2018-02-14,1700,1700,1700,1700,20
2018-02-13,1760,1760,1745,1745,50
2018-02-09,1730,1730,1720,1720,40
2018-02-07,1803,1805,1770,1770,40740
2018-02-06,1750,1750,1717,1747,30390
2018-02-05,1832,1832,1832,1832,10
2018-02-02,1864,1864,1864,1864,10
2018-01-31,1855,1855,1855,1855,10
2018-01-30,1888,1888,1861,1861,30
2018-01-29,1890,1892,1890,1892,20
2018-01-26,1858,1930,1850,1930,40
2018-01-25,1938,1938,1938,1938,10
2018-01-19,1895,1898,1895,1898,20
2018-01-16,1896,1896,1896,1896,10
2018-01-15,1890,1890,1890,1890,10
2018-01-12,1893,1893,1880,1880,120
2018-01-11,1891,1891,1888,1888,160
2018-01-10,1898,1898,1898,1898,50
2018-01-09,1899,1900,1899,1900,300
2018-01-05,1882,1882,1882,1882,10
2018-01-04,1879,1879,1858,1869,100
