Date,Open,High,Low,Close,Volume
2018-08-09,1779,1785,1772,1782,1035900
2018-08-08,1788,1798,1783,1786,970840
2018-08-07,1774,1787,1772,1786,954660
2018-08-06,1782,1789,1770,1772,1641710
2018-08-03,1797,1797,1780,1784,1506830
2018-08-02,1810,1816,1789,1793,1883420
2018-07-31,1804,1811,1789,1794,3446740
2018-07-30,1811,1815,1805,1810,2664810
2018-07-27,1812,1818,1809,1816,1483600
2018-07-26,1810,1812,1803,1809,1893100
2018-07-25,1794,1799,1792,1793,933710
2018-07-24,1792,1793,1785,1786,1189740
2018-07-23,1780,1790,1776,1780,1507610
2018-07-20,1788,1797,1776,1786,1668510
2018-07-19,1797,1802,1789,1790,1525500
2018-07-18,1802,1803,1791,1791,1511080
2018-07-17,1775,1797,1772,1787,1890340
2018-07-13,1765,1776,1760,1770,3271840
2018-07-12,1748,1757,1745,1752,5954760
2018-07-11,1743,1747,1727,1741,2037760
2018-07-10,1764,1773,1758,1758,2030030
2018-07-09,1740,1755,1737,1753,4239930
2018-07-06,1728,1738,1724,1732,1818030
2018-07-05,1759,1760,1741,1745,4632840
2018-07-04,1756,1768,1752,1762,1338240
2018-07-03,1771,1772,1749,1760,3432330
2018-07-02,1794,1800,1762,1763,3786830
2018-06-29,1801,1804,1788,1802,1159840
2018-06-28,1797,1799,1786,1797,2131850
2018-06-27,1801,1807,1794,1802,977410
2018-06-26,1786,1802,1779,1802,2510580
2018-06-25,1818,1818,1794,1799,2427260
2018-06-22,1801,1817,1801,1816,2247380
2018-06-21,1822,1830,1817,1821,1759540
2018-06-20,1816,1825,1797,1822,2258950
2018-06-19,1832,1839,1813,1813,1744070
2018-06-18,1856,1856,1834,1843,874600
2018-06-15,1866,1866,1856,1859,1522350
2018-06-14,1862,1866,1854,1854,2842440
2018-06-13,1866,1876,1866,1871,2832210
2018-06-12,1869,1874,1857,1865,3470260
2018-06-11,1851,1863,1849,1858,2087170
2018-06-08,1858,1865,1852,1852,1394870
2018-06-07,1858,1863,1856,1860,966960
2018-06-06,1846,1852,1843,1849,1461120
2018-06-05,1851,1854,1841,1846,1622980
2018-06-04,1837,1849,1835,1847,2012700
2018-06-01,1812,1827,1809,1820,1649250
2018-05-31,1818,1820,1809,1817,1756720
2018-05-30,1803,1811,1800,1807,2561120
2018-05-29,1837,1840,1825,1832,2002480
2018-05-28,1841,1846,1836,1841,2046010
2018-05-25,1840,1847,1837,1842,3066410
2018-05-24,1863,1864,1843,1846,2234220
2018-05-23,1877,1884,1863,1869,1778000
2018-05-22,1886,1886,1880,1882,1503000
2018-05-21,1887,1893,1885,1887,3078010
2018-05-18,1886,1889,1880,1887,2784150
2018-05-17,1880,1885,1877,1880,2157430
2018-05-16,1871,1879,1870,1871,2990400
2018-05-15,1881,1885,1876,1877,2422720
2018-05-14,1868,1880,1865,1879,3494970
2018-05-11,1854,1868,1853,1868,1763250
2018-05-10,1848,1850,1842,1849,1800790
2018-05-09,1849,1850,1838,1842,1784790
2018-05-08,1843,1856,1842,1851,1351020
2018-05-07,1846,1846,1834,1843,1311870
2018-05-02,1847,1848,1838,1841,1730560
2018-05-01,1842,1847,1838,1844,3672310
2018-04-27,1849,1850,1841,1849,2526820
2018-04-26,1843,1845,1838,1843,2857420
2018-04-25,1826,1840,1825,1839,3413490
2018-04-24,1832,1841,1825,1841,2734950
2018-04-23,1822,1827,1817,1818,1977900
2018-04-20,1816,1827,1814,1820,1726890
2018-04-19,1825,1832,1818,1819,1635350
2018-04-18,1802,1822,1801,1820,2339560
2018-04-17,1800,1807,1794,1799,3632060
2018-04-16,1800,1807,1797,1805,2608260
2018-04-13,1794,1805,1793,1799,1212220
2018-04-12,1794,1794,1785,1787,1584110
2018-04-11,1803,1805,1794,1794,1361300
2018-04-10,1789,1812,1786,1801,2367620
2018-04-09,1786,1800,1783,1794,2373540
2018-04-06,1792,1801,1788,1788,1981070
2018-04-05,1789,1802,1780,1794,1842920
2018-04-04,1775,1780,1766,1774,2178190
2018-04-03,1759,1775,1754,1772,2218860
2018-04-02,1785,1792,1776,1777,1883230
2018-03-30,1785,1789,1776,1785,3354550
2018-03-29,1782,1783,1756,1770,2645130
2018-03-28,1750,1769,1743,1767,2352200
2018-03-27,1740,1767,1737,1766,3714080
